,precision,recall,f1-score,support
A,1.0,1.0,1.0,20.0
B,1.0,1.0,1.0,20.0
C,1.0,1.0,1.0,20.0
D,1.0,1.0,1.0,20.0
E,1.0,1.0,1.0,20.0
F,1.0,1.0,1.0,20.0
G,1.0,1.0,1.0,20.0
H,1.0,1.0,1.0,20.0
I,1.0,1.0,1.0,20.0
J,1.0,1.0,1.0,20.0
K,1.0,1.0,1.0,20.0
L,1.0,1.0,1.0,20.0
M,1.0,1.0,1.0,20.0
N,0.9523809523809523,1.0,0.975609756097561,20.0
O,1.0,1.0,1.0,19.0
P,1.0,1.0,1.0,20.0
Q,1.0,1.0,1.0,20.0
R,1.0,1.0,1.0,20.0
S,1.0,1.0,1.0,20.0
T,1.0,1.0,1.0,20.0
U,1.0,1.0,1.0,20.0
V,1.0,1.0,1.0,20.0
W,1.0,1.0,1.0,20.0
X,1.0,0.95,0.9743589743589743,20.0
Y,1.0,1.0,1.0,20.0
Z,1.0,1.0,1.0,20.0
accuracy,0.9980732177263969,0.9980732177263969,0.9980732177263969,0.9980732177263969
macro avg,0.9981684981684982,0.9980769230769231,0.9980757204021745,519.0
weighted avg,0.9981649692632352,0.9980732177263969,0.9980720127343558,519.0
